"country","totalIPs"
"A1",53547
"A2",856784
"AD",37504
"AE",3685650
"AF",143126
"AG",51328
"AI",10245
"AL",347990
"AM",611370
"AO",1091336
"AP",144285
"AQ",4419
"AR",18695573
"AS",9672
"AT",11218303
"AU",48241893
"AW",54802
"AX",37629
"AZ",711958
"BA",804627
"BB",150795
"BD",1020680
"BE",11517186
"BF",63146
"BG",4391989
"BH",462603
"BI",24960
"BJ",63808
"BL",517
"BM",123915
"BN",199685
"BO",1129659
"BQ",16391
"BR",80882824
"BS",144490
"BT",27136
"BW",122648
"BY",1888428
"BZ",243465
"CA",82288698
"CC",261
"CD",132145
"CF",10757
"CG",49689
"CH",20697629
"CI",201600
"CK",8458
"CL",10167043
"CM",254287
"CN",330936508
"CO",17238009
"CR",2558589
"CU",257024
"CV",22784
"CW",321675
"CX",256
"CY",746598
"CZ",8194122
"DE",120532118
"DJ",41241
"DK",13037250
"DM",19782
"DO",1568824
"DZ",3747229
"EC",2639568
"EE",1373162
"EG",12007689
"ER",4352
"ES",29422942
"ET",98560
"EU",20113502
"FI",13645092
"FJ",140858
"FK",1927
"FM",12032
"FO",41477
"FR",80094523
"GA",322113
"GB",125502363
"GD",24582
"GE",1186183
"GF",49152
"GG",28684
"GH",521385
"GI",70752
"GL",20746
"GM",27397
"GN",27301
"GP",94432
"GQ",13585
"GR",6164421
"GS",261
"GT",639036
"GU",223272
"GW",10499
"GY",46336
"HK",12286697
"HN",485150
"HR",2381219
"HT",170752
"HU",5870490
"ID",19079562
"IE",7663852
"IL",7804369
"IM",74283
"IN",36764485
"IO",3072
"IQ",596245
"IR",10246967
"IS",865586
"IT",53407271
"JE",59298
"JM",268557
"JO",662926
"JP",204786806
"KE",3873052
"KG",271366
"KH",243712
"KI",6402
"KM",4613
"KN",26984
"KP",9539
"KR",112252398
"KW",1941160
"KY",203786
"KZ",2774164
"LA",61184
"LB",486980
"LC",25614
"LI",98106
"LK",547072
"LR",22840
"LS",74028
"LT",2429237
"LU",1286421
"LV",1840168
"LY",330760
"MA",5164810
"MC",53018
"MD",1383936
"ME",182784
"MF",7685
"MG",169493
"MH",7178
"MK",682522
"ML",57088
"MM",33600
"MN",207370
"MO",330245
"MP",14852
"MQ",89004
"MR",48440
"MS",3082
"MT",600862
"MU",1846540
"MV",55041
"MW",158281
"MX",28846358
"MY",6531413
"MZ",425989
"NA",429310
"NC",156682
"NE",45168
"NF",1029
"NG",2410304
"NI",425104
"NL",49371283
"NO",15785109
"NP",486149
"NR",12549
"NU",2314
"NZ",7187833
"OM",904717
"PA",2052658
"PE",3199086
"PF",59650
"PG",59470
"PH",5418238
"PK",5294326
"PL",20648888
"PM",8709
"PN",264
"PR",1214442
"PS",578578
"PT",6409958
"PW",10496
"PY",1091983
"QA",819082
"RE",248065
"RO",11640111
"RS",2291009
"RU",46515496
"RW",360192
"SA",6803387
"SB",16138
"SC",2154057
"SD",1202190
"SE",26799041
"SG",6731751
"SH",768
"SI",2629652
"SJ",261
"SK",2795089
"SL",50984
"SM",30718
"SN",227362
"SO",19278
"SR",87050
"SS",7178
"ST",9477
"SV",668448
"SX",3076
"SY",958208
"SZ",48138
"TC",17675
"TD",14093
"TF",266
"TG",22784
"TH",8707535
"TJ",62979
"TK",2304
"TL",7684
"TM",9989
"TN",3388928
"TO",13314
"TR",16322979
"TT",521216
"TV",12554
"TW",35525142
"TZ",849822
"UA",11856793
"UG",239779
"UM",268
"US",1587624046
"UY",2449984
"UZ",237578
"VA",17984
"VC",24836
"VE",6806835
"VG",41098
"VI",117563
"VN",15662229
"VU",21770
"WF",3588
"WS",22276
"YE",69384
"YT",21516
"ZA",26155783
"ZM",847432
"ZW",129922
